DayOfWeek,Date,PdDistrict
Tuesday,01/31/2006,TENDERLOIN
Tuesday,01/31/2006,TENDERLOIN
Tuesday,01/31/2006,TENDERLOIN
Tuesday,01/31/2006,TENDERLOIN
Tuesday,01/31/2006,TENDERLOIN
Tuesday,01/31/2006,TENDERLOIN
Tuesday,01/31/2006,TENDERLOIN
Tuesday,01/31/2006,TENDERLOIN
Tuesday,01/31/2006,TENDERLOIN
Tuesday,01/31/2006,TENDERLOIN
Tuesday,01/31/2006,TENDERLOIN
Tuesday,01/31/2006,TENDERLOIN
Tuesday,01/31/2006,TENDERLOIN
Tuesday,01/31/2006,TENDERLOIN
Tuesday,01/31/2006,TENDERLOIN
Tuesday,01/31/2006,TENDERLOIN
Tuesday,01/31/2006,TENDERLOIN
Tuesday,01/31/2006,TENDERLOIN
Tuesday,01/31/2006,TENDERLOIN
Tuesday,01/31/2006,TENDERLOIN
Tuesday,01/31/2006,TENDERLOIN
Tuesday,01/31/2006,TENDERLOIN
Tuesday,01/31/2006,TENDERLOIN
Tuesday,01/31/2006,TENDERLOIN
Tuesday,01/31/2006,TENDERLOIN
Tuesday,01/31/2006,TENDERLOIN
Tuesday,01/31/2006,TENDERLOIN
Tuesday,01/31/2006,TENDERLOIN
Tuesday,01/31/2006,TENDERLOIN
Tuesday,01/31/2006,TENDERLOIN
Tuesday,01/31/2006,TENDERLOIN
Tuesday,01/31/2006,TENDERLOIN
Tuesday,01/31/2006,TENDERLOIN
Tuesday,01/31/2006,TENDERLOIN
Tuesday,01/31/2006,TENDERLOIN
Tuesday,01/31/2006,TENDERLOIN
Tuesday,01/31/2006,TENDERLOIN
Tuesday,01/31/2006,TENDERLOIN
Tuesday,01/31/2006,TENDERLOIN
Tuesday,01/31/2006,TENDERLOIN
Tuesday,01/31/2006,TENDERLOIN
Tuesday,01/31/2006,TENDERLOIN
Monday,01/30/2006,TENDERLOIN
Monday,01/30/2006,TENDERLOIN
Monday,01/30/2006,TENDERLOIN
Monday,01/30/2006,TENDERLOIN
Monday,01/30/2006,TENDERLOIN
Monday,01/30/2006,TENDERLOIN
Monday,01/30/2006,TENDERLOIN
Monday,01/30/2006,TENDERLOIN
Monday,01/30/2006,TENDERLOIN
Monday,01/30/2006,TENDERLOIN
Monday,01/30/2006,TENDERLOIN
Monday,01/30/2006,TENDERLOIN
Monday,01/30/2006,TENDERLOIN
Monday,01/30/2006,TENDERLOIN
Monday,01/30/2006,TENDERLOIN
Monday,01/30/2006,TENDERLOIN
Monday,01/30/2006,TENDERLOIN
Monday,01/30/2006,TENDERLOIN
Monday,01/30/2006,TENDERLOIN
Monday,01/30/2006,TENDERLOIN
Monday,01/30/2006,TENDERLOIN
Monday,01/30/2006,TENDERLOIN
Monday,01/30/2006,TENDERLOIN
Monday,01/30/2006,TENDERLOIN
Monday,01/30/2006,TENDERLOIN
Monday,01/30/2006,TENDERLOIN
Monday,01/30/2006,TENDERLOIN
Monday,01/30/2006,TENDERLOIN
Monday,01/30/2006,TENDERLOIN
Sunday,01/29/2006,TENDERLOIN
Sunday,01/29/2006,TENDERLOIN
Sunday,01/29/2006,TENDERLOIN
Sunday,01/29/2006,TENDERLOIN
Sunday,01/29/2006,TENDERLOIN
Sunday,01/29/2006,TENDERLOIN
Sunday,01/29/2006,TENDERLOIN
Sunday,01/29/2006,TENDERLOIN
Sunday,01/29/2006,TENDERLOIN
Sunday,01/29/2006,TENDERLOIN
Sunday,01/29/2006,TENDERLOIN
